title,price,count,rating,info_dict
"Парка зимняя мембранная, куртка с капюшоном",5724,92,4.5,"{'Размер на модели': '48', 'Рост модели на фото': '182 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '103-79-95', 'Утеплитель': 'холлофайбер', 'Температурный режим': 'от -5 °C до -30 °C', 'Плотность синтетического утеплителя': '300 г/кв.м', 'Страна производства': 'Россия', 'Материал подкладки': 'мембранная ткань', 'Вид застежки': 'молния и планка на кнопках', 'Особенности модели': 'ветро-влаго защита', 'Опции капюшона': 'съемный на молнии', 'Опции опушки': 'без опушки', 'Декоративные элементы': 'карман', 'Тип карманов': '5 внешних карманов 1 внутренний', 'Сезон': 'зима', 'Артикул': '175178478', 'Состав': 'полиэстер 100%, мембрана'}"
Куртка зимняя кожаная с капюшоном,3760,387,4.8,"{'Размер на модели': '44', 'Рост модели на фото': '173 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '86-60-90', 'Утеплитель': 'холлофайбер', 'Температурный режим': 'от +5 °C до -10 °C', 'Плотность синтетического утеплителя': '250 г/кв.м', 'Материал подкладки': 'полиэстер', 'Страна производства': 'Россия', 'Вид застежки': 'молния', 'Особенности модели': 'влагонепроницаемость', 'Опции капюшона': 'несъемный капюшон', 'Опции опушки': 'без опушки', 'Декоративные элементы': 'свободный крой', 'Тип карманов': 'накладные', 'Сезон': 'демисезон; зима', 'Артикул': '174015758', 'Состав': 'экокожа, полиэстeр, холлофайбер'}"
Полукомбинезон зимний демисезонный,9840,49,4.6,"{'Размер на модели': '44', 'Рост модели на фото': '177 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '84-63-92', 'Утеплитель': 'шелтер', 'Температурный режим': '0 до -25 градусов', 'Плотность синтетического утеплителя': '100 г/кв.м', 'Страна производства': 'Россия', 'Материал подкладки': 'полиэстер', 'Вид застежки': 'молния', 'Особенности модели': 'Непродуваемый влагостойкий материал', 'Тип карманов': 'прорезные', 'Сезон': 'зима', 'Артикул': '27109277', 'Состав': 'полиэстер 100%'}"
Куртка утепленная,4012,20,4.8,"{'Утеплитель': 'полиэстер', 'Температурный режим': 'до -25°C', 'Материал подкладки': 'полиэстер', 'Страна производства': 'Китай', 'Вид застежки': 'молния', 'Особенности модели': 'каждый день', 'Опции капюшона': 'несъемный капюшон', 'Декоративные элементы': 'без элементов', 'Сезон': 'зима', 'Артикул': '180474541', 'Состав': 'полиэстер, модакрил, акрил'}"
Пальто женское зимнее,8600,4302,4.7,"{'Размер на модели': '44', 'Рост модели на фото': '173 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '84-64-90', 'Утеплитель': 'холлофайбер; дополнительное утепление спинки и полочки', 'Температурный режим': 'от +5 до -20°С', 'Плотность синтетического утеплителя': '300 г/кв.м', 'Материал подкладки': 'поливискоза', 'Страна производства': 'Россия', 'Вид застежки': 'пуговицы', 'Особенности модели': 'пальто больших размеров', 'Опции капюшона': 'без капюшона', 'Длина изделия по спинке': '110 см', 'Опции опушки': 'несъемная опушка', 'Декоративные элементы': 'меховая отторочка', 'Тип карманов': 'прорезные', 'Конструктивные элементы': 'Меховой воротник', 'Сезон': 'зима; демисезон', 'Артикул': '48537932', 'Состав': 'полиэстер, эко мех'}"
Куртка тедди двусторонняя зимняя,6695,24,4.4,"{'Цвет': 'черный', 'Размер на модели': '42', 'Рост модели на фото': '170 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '85-63-86', 'Утеплитель': 'искусственный мех теди', 'Температурный режим': 'от +10С до -20С', 'Плотность синтетического утеплителя': '100 г/кв.м', 'Материал подкладки': 'искусственный мех', 'Страна производства': 'Китай', 'Вид застежки': 'молния', 'Особенности модели': 'Теплостойкость', 'Опции капюшона': 'несъемный капюшон', 'Опции опушки': 'без опушки', 'Декоративные элементы': 'карман', 'Тип карманов': 'в шве', 'Сезон': 'зима', 'Артикул': '185283541', 'Состав': 'искусственный мех, полиэстер'}"
Куртка зимняя с капюшоном стеганая,2692,1095,4.7,"{'Размер на модели': '46', 'Рост модели на фото': '175 см', 'Утеплитель': 'полиэстер', 'Температурный режим': 'до -25 °C', 'Материал подкладки': 'полиэстер', 'Страна производства': 'Китай', 'Вид застежки': 'молния', 'Особенности модели': 'стандартное телосложение', 'Опции капюшона': 'несъемный капюшон', 'Декоративные элементы': 'отсутстввуют', 'Тип карманов': 'прорезные', 'Сезон': 'зима', 'Артикул': '44869334', 'Состав': 'полиэстер'}"
Пальто стеганое демисезонное длинное,4480,576,4.6,"{'Цвет': 'пудровый; бежевый; кремовый; телесный', 'Размер на модели': '42', 'Рост модели на фото': '170 см', 'Утеплитель': 'холлофайбер', 'Температурный режим': 'От +5°C до +15°C', 'Материал подкладки': 'полиэстер', 'Страна производства': 'Китай', 'Вид застежки': 'Заклепки; пояс', 'Особенности модели': 'ветрозащита', 'Опции капюшона': 'без капюшона', 'Опции опушки': 'без опушки', 'Декоративные элементы': 'Английский воротник', 'Тип карманов': 'прорезные', 'Конструктивные элементы': 'отложной воротничок', 'Сезон': 'демисезон; лето; круглогодичный', 'Артикул': '149005860', 'Состав': 'полиэстер'}"
Куртка зимняя,4844,3212,4.7,"{'Размер на модели': '48-50', 'Рост модели на фото': '182 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '115-85', 'Утеплитель': 'холлофайбер', 'Температурный режим': 'зима весна осень демисезонное', 'Плотность синтетического утеплителя': '100 г/кв.м', 'Материал подкладки': 'Флис (100% полиэстер)', 'Страна производства': 'Россия', 'Вид застежки': 'молния', 'Особенности модели': 'Куртка тактическая демисезонная теплая с капюшоном мембранная', 'Опции капюшона': 'несъемный капюшон', 'Опции опушки': 'без опушки', 'Декоративные элементы': 'нет', 'Тип карманов': 'на молнии', 'Сезон': 'зима; демисезон', 'Артикул': '39348542', 'Состав': 'полиэстер 100%'}"
Пуховик женский зимний пальто с мехом,16889,158,4.3,"{'Цвет': 'светло-бежевый', 'Размер на модели': '42', 'Утеплитель': 'пух', 'Страна производства': 'Китай', 'Материал подкладки': '100% полиэстер', 'Вид застежки': 'кнопки', 'Особенности модели': 'ветрозащита', 'Опции капюшона': 'без капюшона', 'Опции опушки': 'съемная опушка', 'Тип карманов': 'накладные', 'Сезон': 'зима', 'Артикул': '122992402', 'Состав': '100% полиэстер'}"
Куртка зимняя с капюшоном демисезонная,4220,65,4.5,"{'Цвет': 'хаки', 'Размер на модели': '160', 'Рост модели на фото': '144 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '64-54-75', 'Утеплитель': 'синтепон', 'Температурный режим': 'до -20 °C', 'Материал подкладки': 'флис', 'Страна производства': 'Китай', 'Вид застежки': 'молния; кнопки', 'Особенности модели': 'удлиненная спинка', 'Опции капюшона': 'съемный капюшон', 'Опции опушки': 'без опушки', 'Декоративные элементы': 'карманы', 'Тип карманов': 'С клапанами', 'Сезон': 'демисезон; зима', 'Артикул': '177133539', 'Состав': 'полиэстер 100%'}"
Куртка женская зимняя,3172,18,5,"{'Утеплитель': 'Холлофайбер', 'Температурный режим': 'от +5 °C до -35 °C', 'Плотность синтетического утеплителя': '300 г/кв.м', 'Материал подкладки': 'Холлофайбер', 'Страна производства': 'Россия', 'Вид застежки': 'молния', 'Опции капюшона': 'несъемный капюшон', 'Опции опушки': 'без опушки', 'Декоративные элементы': 'заклепки; карманы', 'Сезон': 'зима; демисезон', 'Артикул': '197370743', 'Состав': 'Полиэстер, Вискоза'}"
