title,price,count,rating,info_dict
Lee Cooper羽绒服男冬季新款白鸭绒短款连帽男士加厚保暖宽松冬装外套保暖 绿色 L码,,200+,97%,"{'商品名称': 'Lee Cooper羽绒服男冬季新款白鸭绒短款连帽男士加厚保暖宽松冬装外套保暖 绿色 L码', '商品编号': '10065905971677', '店铺': 'Lee Cooper卓亿浦专卖店', '商品毛重': '200.00g', '货号': 'Lee Cooper-TBK19160', '材质': '涤纶(聚酯纤维)100%', '版型': '标准型', '衣长': '短款', '领型': '连帽', '穿着方式': '开衫', '填充物': '鸭绒', '充绒量': '100-149g', '风格': '百搭风', '上市时间': '2022年冬季', '厚度': '加厚', '适用人群': '青年，青少年'}"
GENIOLAMODE森马集团棉服男潮流棉衣外套男秋冬季立领休闲男士棉袄衣服男装,,1万+,94%,"{'商品名称': 'GENIOLAMODE棉服', '商品编号': '100064705790', '商品毛重': '0.8kg', '商品产地': '中国大陆福建省', '货号': '231671GOFLQS2208', '材质': '涤纶(聚酯纤维)100%', '版型': '宽松型', '上市时间': '2023年秋季', '领型': '立领', '穿着方式': '开衫', '填充物': '涤纶(聚酯纤维)', '适用人群': '青年，中年', '衣门襟': '拉链', '衣长': '常规款', '厚度': '加厚', '风格': '休闲风', '休闲风': '简约风'}"
GLM森马集团品牌棉服男士秋冬季潮流棉衣加厚保暖防寒男装衣服外套,,5000+,98%,"{'商品名称': 'GLM棉服', '商品编号': '100065578158', '商品毛重': '0.8kg', '商品产地': '中国浙江', '货号': '231119GM2208', '材质': '涤纶(聚酯纤维)100%', '衣门襟': '拉链', '领型': '立领', '版型': '标准型', '衣长': '短款', '厚度': '常规', '穿着方式': '开衫', '流行元素': '车缝线', '填充物': '涤纶(聚酯纤维)', '上市时间': '2023年秋季', '适用人群': '青少年，青年', '图案': '纯色', '适用场景': '居家，运动', '风格': '休闲风', '休闲风': '简约风'}"
花花公子（PLAYBOY）卫衣男外套冬季羊羔绒保暖连帽开衫男装字母印花长袖男 白色 XL,,2万+,92%,"{'商品名称': '花花公子卫衣', '商品编号': '100027183940', '商品毛重': '410.00g', '商品产地': '中国福建', '货号': '020405FSA516', '材质': '涤纶(聚酯纤维)100%', '厚度': '常规', '版型': '标准型', '适用季节': '秋季，冬季', '工艺': '水洗', '上市时间': '2023年春季', '领型': '连帽', '适用人群': '青少年，青年', '流行元素': '印花', '风格': '百搭风', '袖型': '落肩袖', '穿着方式': '开衫', '图案': '字母，拼色', '适用场景': '居家，旅行'}"
NASA MARVEL棉衣男冬季棉服男情侣装外套面包服加厚宽松百搭休闲保暖棉袄子,139.00,2000+,98%,"{'商品名称': 'NASA MARVELyifeng-8801', '商品编号': '100063298458', '商品毛重': '0.58kg', '商品产地': '中国大陆', '货号': 'yifeng-8801 -02', '材质': '涤纶(聚酯纤维)100%', '版型': '宽松型', '上市时间': '2023年秋季', '领型': '翻领', '穿着方式': '开衫', '填充物': '涤纶(聚酯纤维)', '适用人群': '青年，中年', '衣门襟': '拉链', '衣长': '常规款', '厚度': '加厚', '风格': '休闲风', '休闲风': '简约风'}"
NASA MARVEL棉衣男棉服男冬季外套面包服羊羔绒连帽潮牌加绒加厚百搭情侣装,,2000+,98%,"{'商品名称': 'NASA MARVELA216-5233', '商品编号': '100064943310', '商品毛重': '500.00g', '商品产地': '中国大陆', '货号': 'A216-5233 -04', '材质': '涤纶(聚酯纤维)100%', '版型': '标准型', '上市时间': '2023年秋季', '厚度': '厚款', '穿着方式': '开衫', '填充物': '涤纶(聚酯纤维)', '适用人群': '青年，中年', '衣门襟': '拉链', '衣长': '常规款', '领型': '连帽', '风格': '休闲风', '休闲风': '简约风'}"
Lee Cooper高端羽绒服男冬季新款男士连帽工装宽松外套加厚百搭保暖上衣男装 7833深卡其羽绒服 3XL码,699.00,500+,96%,"{'商品名称': 'Lee Cooper高端羽绒服男冬季新款男士连帽工装宽松外套加厚百搭保暖上衣男装 7833深卡其羽绒服 3XL码', '商品编号': '10065695910672', '店铺': 'Lee Cooper若迈风专卖店', '商品毛重': '500.00g', '货号': 'AFJDSA-31134', '绒子含量': '80%-89%', '版型': '标准型', '充绒量': '100-149g', '材质': '涤纶(聚酯纤维)100%', '衣长': '常规款', '厚度': '常规', '穿着方式': '开衫', '流行元素': '印花，多口袋', '领型': '连帽', '风格': '休闲风', '适用人群': '青年，中年，青少年，情侣', '上市时间': '2022年冬季', '适用场景': '学校，旅行'}"
吉普（JEEP）冲锋衣外套男秋冬季工装夹克男防风连帽上衣男 象牙白/浅咖 XL,,5000+,95%,"{'商品名称': '吉普夹克', '商品编号': '100058292992', '商品毛重': '0.65kg', '商品产地': '中国福建省', '货号': 'Q-STCKJP1818ZY', '材质': '涤纶(聚酯纤维)100%', '衣门襟': '拉链', '适用季节': '秋季，冬季', '上市时间': '2023年冬季', '领型': '可脱卸帽', '适用人群': '青年，青少年', '流行元素': '简约', '厚度': '常规', '风格': '百搭风', '版型': '标准型', '图案': '拼色', '衣长': '常规款'}"
吉普（JEEP）冲锋衣外套男秋冬季夹克男士三合一可拆卸防风上衣 黑拼白 XL,,2000+,97%,"{'商品名称': '吉普夹克', '商品编号': '100062832268', '商品毛重': '0.65kg', '商品产地': '中国福建省', '货号': 'Q-WUDJP988RZY', '材质': '涤纶(聚酯纤维)100%', '版型': '宽松型', '适用季节': '秋季，冬季', '衣长': '常规款', '领型': '可脱卸帽', '适用人群': '青年，青少年', '流行元素': '车缝线', '厚度': '常规', '风格': '百搭风', '衣门襟': '拉链', '图案': '纯色', '上市时间': '2023年冬季'}"
NASA GISS 连帽棉衣男士秋冬棉服男情侣外套加厚保暖青少年棉袄 黑色 2XL,119.00,1万+,93%,"{'商品名称': 'NASA GISS棉服', '商品编号': '100039222119', '商品毛重': '0.9kg', '商品产地': '中国大陆', '货号': '231445ZXNS8088', '材质': '涤纶(聚酯纤维)100%', '版型': '宽松型', '穿着方式': '开衫', '衣门襟': '拉链', '衣长': '常规款', '领型': '连帽', '适用人群': '青少年，青年', '填充物': '涤纶(聚酯纤维)', '上市时间': '2023年秋季', '风格': '百搭风', '厚度': '加厚', '图案': '纯色', '适用场景': '居家，学校'}"
